"ID","respondent","gender","age","education","area","mileage","power","design","comfort","entertainment","environment"
1,1,2,66,5,3,4,2,2,5,3,4
2,2,2,54,2,3,4,5,2,3,3,3
3,3,1,33,3,4,5,4,5,3,5,5
4,4,1,45,2,1,2,4,5,6,4,3
5,5,2,73,4,2,3,3,2,6,2,4
6,6,1,22,1,4,5,5,4,4,6,5
7,7,1,42,4,3,4,3,5,5,4,5
8,8,1,31,2,4,5,5,5,3,6,5
9,9,1,42,2,3,4,5,5,4,4,5
10,10,2,64,4,3,4,3,2,5,2,4
11,11,2,48,1,1,3,6,3,3,4,3
12,12,2,43,1,4,6,7,3,4,4,4
13,13,1,54,2,3,4,4,4,4,3,4
14,14,1,75,1,3,4,5,4,5,2,4
15,15,1,44,1,1,2,5,6,5,4,4
16,16,2,40,2,4,5,6,3,4,5,3
17,17,2,33,4,1,2,3,4,3,5,4
18,18,2,65,2,1,2,5,3,5,2,2
19,19,1,39,3,1,2,3,6,5,5,4
20,20,1,47,1,3,4,5,4,5,3,4
21,21,2,61,4,4,5,3,2,3,3,5
22,22,1,38,5,3,4,2,5,3,5,5
23,23,2,43,3,1,2,4,4,2,4,3
24,24,1,75,4,4,5,2,4,6,1,4
25,25,2,20,2,3,4,5,2,1,6,3
26,26,1,60,4,1,2,2,5,5,3,6
27,27,1,57,4,2,3,2,4,4,3,5
28,28,1,43,4,1,2,2,6,5,4,6
29,29,2,45,4,4,5,3,2,3,4,5
30,30,1,35,2,2,3,5,5,4,5,4
31,31,1,62,5,4,5,1,4,5,3,6
32,32,1,32,1,2,3,6,5,3,5,4
33,33,2,24,1,3,5,6,2,3,6,3
34,34,1,62,5,1,2,1,5,6,2,5
35,35,2,74,2,3,4,5,2,5,1,2
36,36,2,64,5,4,5,2,2,4,2,4
37,37,1,41,1,4,5,6,5,5,5,5
38,38,2,41,2,4,5,6,3,4,4,4
39,39,1,48,3,1,2,3,5,5,4,5
40,40,1,24,5,1,2,1,5,2,5,6
41,41,1,48,3,4,5,3,4,5,4,5
42,42,1,35,4,2,3,3,5,3,5,7
43,43,1,57,1,4,5,5,4,4,3,4
44,44,2,65,3,2,3,4,2,4,3,3
45,45,1,36,4,4,5,3,5,4,5,7
46,46,1,60,2,3,4,4,4,5,3,4
47,47,1,18,5,3,4,1,4,3,6,7
48,48,1,62,4,2,3,2,4,5,3,5
49,49,1,51,3,1,2,3,5,4,4,4
50,50,1,50,3,3,4,3,4,4,4,5
51,51,1,52,4,3,4,2,4,6,3,5
52,52,2,27,2,1,2,5,3,2,5,4
53,53,1,71,1,1,2,5,5,5,2,2
54,54,2,69,4,2,3,3,2,5,2,3
55,55,2,55,2,2,3,5,2,4,3,2
56,56,1,66,2,3,4,4,4,6,2,3
57,57,2,36,3,1,2,4,4,2,5,4
58,58,1,52,4,1,2,2,5,5,3,6
59,59,1,41,1,2,3,6,5,4,4,4
60,60,2,51,1,1,3,6,3,4,4,4
61,61,2,31,1,4,6,7,3,3,5,4
62,62,2,62,1,4,6,6,2,5,2,2
63,63,1,35,4,4,5,3,5,5,5,5
64,64,1,39,4,1,2,2,6,5,5,5
65,65,2,35,1,2,4,7,3,3,5,3
66,66,2,66,4,4,5,3,2,5,2,4
67,67,2,22,1,2,4,6,2,2,6,3
68,68,2,46,2,3,4,5,2,3,4,4
69,69,1,49,3,1,2,3,5,5,4,5
70,70,2,50,5,2,3,2,2,3,4,3
71,71,2,42,3,2,3,5,3,4,5,5
72,72,1,42,1,2,3,6,5,5,4,4
73,73,1,40,4,3,4,3,5,3,4,5
74,74,1,29,4,1,2,2,5,5,5,5
75,75,2,35,3,1,2,4,4,2,5,4
76,76,2,65,1,2,4,6,2,3,2,2
77,77,2,68,4,3,4,3,2,5,2,4
78,78,2,35,3,2,3,5,3,3,5,4
79,79,1,66,3,3,4,3,4,5,2,3
80,80,1,46,5,1,2,1,5,5,4,6
81,81,1,60,4,2,3,2,4,6,3,4
82,82,2,71,4,2,3,3,2,6,1,3
83,83,1,72,4,3,4,2,4,6,2,5
84,84,1,51,5,3,4,1,4,5,4,5
85,85,1,66,4,2,3,2,4,5,2,5
86,86,2,72,2,3,4,5,2,6,2,2
87,87,2,63,1,3,5,6,2,3,3,3
88,88,1,66,2,3,4,4,4,4,2,4
89,89,2,24,5,4,5,2,2,3,6,5
90,90,2,19,3,3,4,4,2,2,6,6
91,91,1,25,1,3,4,5,4,5,6,4
92,92,1,59,5,1,2,1,5,5,3,5
93,93,1,32,3,3,4,4,5,3,5,6
94,94,1,48,4,2,3,2,4,6,4,5
95,95,1,37,1,4,5,6,5,4,5,4
96,96,2,20,5,2,3,2,2,3,6,6
97,97,2,60,5,2,3,2,2,5,3,5
98,98,1,60,2,2,3,4,4,6,3,4
99,99,2,29,2,4,5,5,2,4,5,3
100,100,1,41,5,1,2,1,6,4,5,6
101,101,2,31,5,3,4,3,3,2,6,6
102,102,1,56,1,2,3,5,4,6,3,3
103,103,2,48,3,2,3,4,2,4,4,4
104,104,1,57,1,1,2,5,5,4,3,3
105,105,1,18,4,2,3,2,4,2,6,6
106,106,1,39,3,3,4,4,5,4,5,5
107,107,2,58,2,3,4,5,2,5,3,2
108,108,2,52,5,4,5,2,2,3,3,3
109,109,2,63,2,2,3,5,2,5,2,2
110,110,2,28,3,2,3,4,2,2,6,4
111,111,2,65,5,1,2,2,3,6,2,3
112,112,1,71,3,2,3,3,4,5,2,5
113,113,1,38,5,1,2,1,6,3,5,5
114,114,1,36,1,1,2,5,6,3,4,4
115,115,1,75,5,4,5,1,4,6,2,4
116,116,2,54,1,1,3,6,3,5,4,2
117,117,1,46,2,1,2,4,5,5,4,3
118,118,2,18,4,4,5,3,2,2,6,6
119,119,1,74,5,3,4,1,4,6,1,5
120,120,2,19,5,1,2,2,3,3,6,6
121,121,1,49,5,1,2,1,5,3,4,6
122,122,2,65,3,4,5,4,2,4,2,4
123,123,1,24,5,4,5,1,4,4,5,6
124,124,2,49,2,4,5,5,2,4,4,4
125,125,1,55,3,2,3,3,4,4,4,6
126,126,2,75,3,1,2,4,3,5,1,3
127,127,2,72,5,3,4,2,2,4,2,4
128,128,2,75,5,2,3,2,2,5,1,4
129,129,2,56,1,4,6,6,2,3,3,3
130,130,2,70,3,2,3,4,2,4,2,2
131,131,2,27,3,4,5,4,2,3,6,5
132,132,1,61,1,2,3,5,4,6,2,4
133,133,1,18,2,3,4,4,4,4,7,4
134,134,1,59,5,4,5,1,4,4,3,5
135,135,1,41,3,2,3,4,5,3,5,5
136,136,1,59,4,3,4,2,4,5,3,4
137,137,2,73,2,4,5,5,2,4,2,1
138,138,2,33,5,3,4,3,3,2,5,4
139,139,1,63,1,4,5,5,4,4,2,3
140,140,2,65,3,3,4,4,2,4,2,4
141,141,2,62,3,4,5,4,2,5,3,4
142,142,2,32,1,1,3,6,4,4,5,3
143,143,1,24,1,1,2,5,5,3,6,6
144,144,2,32,3,2,3,5,3,2,5,5
145,145,2,66,4,2,3,3,2,4,3,3
146,146,2,69,5,3,4,2,2,6,2,4
147,147,2,18,4,4,5,3,2,1,7,6
148,148,1,67,3,4,5,3,4,5,2,4
149,149,1,51,4,2,3,2,4,4,3,5
150,150,1,22,5,1,2,1,5,4,6,7
151,151,1,57,5,3,4,1,4,4,3,6
152,152,1,34,1,3,4,6,5,5,5,5
153,153,1,46,5,4,5,1,4,4,4,5
154,154,2,40,4,1,2,3,4,3,5,5
155,155,2,69,2,1,2,5,3,4,2,2
156,156,2,22,2,2,3,5,2,2,7,3
157,157,2,60,5,1,2,2,3,5,2,3
158,158,1,62,1,4,5,5,4,5,3,3
159,159,2,69,1,2,4,6,2,4,2,2
160,160,1,19,5,3,4,1,4,4,6,6
161,161,2,25,3,4,5,4,2,2,6,4
162,162,1,47,5,3,4,1,4,5,4,4
163,163,1,63,2,3,4,4,4,6,3,3
164,164,1,74,3,3,4,3,4,6,1,4
165,165,1,18,2,2,3,4,4,2,7,5
166,166,1,22,2,2,3,4,4,2,6,5
167,167,1,36,1,1,2,5,6,3,5,4
168,168,1,64,2,4,5,4,4,6,3,3
169,169,1,21,5,4,5,1,4,4,6,6
170,170,1,65,3,2,3,3,4,5,3,5
171,171,2,18,3,2,3,4,2,1,7,5
172,172,2,25,5,2,3,2,2,3,5,5
173,173,2,41,3,1,2,4,4,3,4,4
174,174,1,75,3,1,2,3,5,5,1,4
175,175,2,66,5,1,2,2,3,6,3,3
176,176,1,52,4,4,5,2,4,6,3,5
177,177,2,53,1,3,5,6,2,3,3,3
178,178,1,48,2,4,5,4,4,5,4,3
179,179,1,41,4,3,4,3,5,4,5,6
180,180,1,52,3,3,4,3,4,4,4,4
181,181,1,41,5,3,4,2,5,3,4,6
182,182,1,42,2,1,2,4,6,4,4,4
183,183,2,55,1,4,6,6,2,5,3,3
184,184,2,66,5,2,3,2,2,3,2,5
185,185,2,71,2,1,2,5,3,4,2,2
186,186,1,73,5,4,5,1,4,7,1,5
187,187,1,49,1,1,2,5,5,4,4,5
188,188,2,72,4,3,4,3,2,5,2,3
189,189,1,55,5,4,5,1,4,5,3,5
190,190,1,22,4,4,5,2,4,4,6,7
191,191,2,42,1,1,3,6,4,4,4,4
192,192,2,37,2,3,4,6,3,3,5,4
193,193,1,25,3,3,4,3,4,5,6,6
194,194,2,73,5,2,3,2,2,4,1,4
195,195,1,38,2,2,3,5,5,3,4,5
196,196,1,50,3,2,3,3,4,5,4,4
197,197,1,33,5,1,2,1,6,3,5,5
198,198,1,31,1,3,4,6,5,4,5,5
199,199,2,29,4,3,4,3,2,2,5,6
200,200,1,42,3,1,2,3,6,5,4,6
201,201,1,53,4,4,5,2,4,6,3,5
202,202,2,44,1,2,4,7,3,3,4,2
203,203,2,69,4,3,4,3,2,5,2,3
204,204,2,65,5,1,2,2,3,5,2,5
205,205,2,37,2,1,2,5,4,4,5,4
206,206,2,48,5,1,2,2,3,4,4,4
207,207,2,71,1,2,4,6,2,5,2,1
208,208,2,25,3,4,5,4,2,3,6,4
209,209,1,42,1,2,3,6,5,4,4,5
210,210,2,55,5,1,2,2,3,4,3,4
211,211,1,74,2,1,2,4,5,5,1,3
212,212,2,46,2,4,5,5,2,4,4,2
213,213,1,39,1,4,5,6,5,3,4,4
214,214,2,20,5,4,5,2,2,3,6,6
215,215,1,66,1,4,5,5,4,4,3,3
216,216,2,28,4,3,4,3,2,4,5,6
217,217,2,71,5,3,4,2,2,5,2,3
218,218,1,65,5,4,5,1,4,6,2,5
219,219,1,62,2,4,5,4,4,5,3,3
220,220,2,49,2,3,4,5,2,2,4,2
221,221,2,22,1,2,4,6,2,3,7,4
222,222,1,20,4,3,4,2,4,3,7,7
223,223,2,50,3,1,2,4,3,4,3,3
224,224,1,61,5,2,3,1,4,5,3,5
225,225,1,64,1,4,5,5,4,6,3,3
226,226,2,40,3,1,2,4,4,2,4,4
227,227,1,33,5,2,3,2,5,4,5,7
228,228,1,26,4,4,5,2,4,3,6,7
229,229,2,25,1,1,3,6,3,3,6,3
230,230,1,70,1,1,2,5,5,7,2,2
231,231,1,32,2,4,5,5,5,5,5,4
232,232,2,27,5,4,5,2,2,3,5,4
233,233,2,45,2,2,3,5,2,3,4,4
234,234,1,55,2,2,3,4,4,5,3,3
235,235,2,48,3,2,3,4,2,2,4,4
236,236,2,65,1,2,4,6,2,5,2,3
237,237,1,37,2,3,4,5,5,4,5,4
238,238,2,22,5,2,3,2,2,4,6,5
239,239,1,23,4,1,2,2,5,3,6,5
240,240,2,41,4,1,2,3,4,2,5,4
241,241,1,64,1,1,2,5,5,5,2,3
242,242,2,25,2,1,2,5,3,4,6,5
243,243,1,50,2,3,4,4,4,5,4,4
244,244,1,20,5,1,2,1,5,2,6,6
245,245,1,26,2,3,4,4,4,3,5,6
246,246,2,25,4,1,2,3,3,2,6,6
247,247,2,48,1,2,4,6,2,3,4,3
248,248,1,38,5,1,2,1,6,3,5,6
249,249,2,64,3,3,4,4,2,3,3,3
250,250,2,74,5,2,3,2,2,4,1,4
251,251,1,55,2,1,2,4,5,4,3,4
252,252,2,64,2,4,5,5,2,4,2,3
253,253,1,45,2,4,5,4,4,4,4,4
254,254,2,50,2,3,4,5,2,4,4,2
255,255,1,30,1,4,5,5,4,3,6,4
256,256,2,23,3,3,4,4,2,2,6,4
257,257,2,62,5,4,5,2,2,4,3,3
258,258,1,18,3,1,2,3,5,4,6,7
259,259,1,18,1,3,4,5,4,2,7,6
260,260,2,68,3,1,2,4,3,5,2,4
261,261,1,75,3,3,4,3,4,5,2,4
262,262,2,68,2,3,4,5,2,6,2,3
263,263,1,60,2,2,3,4,4,5,2,3
264,264,1,47,4,4,5,2,4,4,3,5
265,265,1,33,3,3,4,4,5,4,5,5
266,266,1,39,1,4,5,6,5,4,5,4
267,267,1,69,5,3,4,1,4,4,2,5
268,268,1,38,5,2,3,2,5,4,5,6
269,269,1,53,1,1,2,5,5,3,4,3
270,270,1,50,5,4,5,1,4,5,3,6
271,271,2,39,3,3,4,5,3,4,5,4
272,272,2,30,5,2,3,2,2,3,6,6
273,273,1,62,2,2,3,4,4,6,2,3
274,274,2,69,1,2,4,6,2,4,2,2
275,275,1,29,1,4,5,5,4,3,6,5
276,276,1,45,1,2,3,5,4,3,4,5
277,277,1,42,3,4,5,4,5,5,5,5
278,278,1,47,5,2,3,1,4,4,4,6
279,279,1,53,5,4,5,1,4,5,4,6
280,280,2,68,2,3,4,5,2,5,2,2
281,281,2,22,4,1,2,3,3,3,6,6
282,282,1,57,3,3,4,3,4,4,3,4
283,283,2,44,5,1,2,2,4,3,4,4
284,284,1,40,3,2,3,4,5,4,4,5
285,285,2,60,3,4,5,4,2,4,2,3
286,286,2,55,5,1,2,2,3,4,3,4
287,287,2,32,3,4,5,5,3,3,5,4
288,288,1,26,2,4,5,4,4,3,6,4
289,289,2,71,4,2,3,3,2,6,2,3
290,290,2,28,3,1,2,4,3,4,5,5
291,291,2,37,1,4,6,7,3,3,5,4
292,292,2,33,5,4,5,3,3,2,5,5
293,293,1,62,2,2,3,4,4,6,2,4
294,294,1,50,5,1,2,1,5,4,4,6
295,295,1,45,5,1,2,1,5,4,4,5
296,296,1,19,4,3,4,2,4,4,6,7
297,297,2,29,2,2,3,5,2,2,6,4
298,298,2,73,4,2,3,3,2,4,2,3
299,299,1,44,3,1,2,3,6,5,4,6
300,300,2,25,2,4,5,5,2,1,6,4
301,301,2,49,2,2,3,5,2,5,3,4
302,302,2,53,2,1,2,5,3,4,3,3
303,303,1,56,4,1,2,2,5,4,3,6
304,304,1,22,2,4,5,4,4,4,7,4
305,305,2,39,5,1,2,2,4,3,5,6
306,306,2,36,1,4,6,7,3,3,4,4
307,307,2,66,5,2,3,2,2,4,2,3
308,308,1,50,5,2,3,1,4,5,4,5
309,309,1,45,1,3,4,5,4,5,4,5
310,310,2,27,5,2,3,2,2,2,6,4
311,311,2,36,5,3,4,3,3,3,5,5
312,312,1,58,3,2,3,3,4,6,3,4
313,313,2,63,4,2,3,3,2,4,3,4
314,314,1,68,2,4,5,4,4,6,2,4
315,315,1,23,3,3,4,3,4,4,6,6
316,316,1,49,4,3,4,2,4,4,4,5
317,317,2,22,4,4,5,3,2,3,7,5
318,318,1,46,1,2,3,5,4,5,4,4
319,319,1,23,5,4,5,1,4,3,6,6
320,320,2,62,3,4,5,4,2,5,3,4
321,321,2,74,5,3,4,2,2,4,2,4
322,322,1,48,5,1,2,1,5,4,4,5
323,323,1,57,5,4,5,1,4,6,3,5
324,324,2,54,2,2,3,5,2,4,4,2
325,325,1,66,1,1,2,5,5,5,2,4
326,326,1,37,2,1,2,4,6,5,5,4
327,327,2,32,1,4,6,7,3,2,5,4
328,328,1,42,5,1,2,1,6,4,5,5
329,329,2,49,2,1,2,5,3,3,4,2
330,330,2,35,4,4,5,4,3,2,5,5
331,331,2,30,5,4,5,2,2,3,5,6
332,332,2,28,2,1,2,5,3,2,5,4
333,333,2,63,3,2,3,4,2,4,2,3
334,334,1,70,4,4,5,2,4,6,2,5
335,335,2,56,1,3,5,6,2,4,3,3
336,336,1,24,4,4,5,2,4,4,6,7
337,337,2,70,1,1,3,6,3,5,2,2
338,338,2,69,2,4,5,5,2,4,2,2
339,339,2,53,4,2,3,3,2,3,3,5
340,340,2,38,1,2,4,7,3,3,4,3
341,341,2,28,1,2,4,6,2,2,5,3
342,342,1,67,3,2,3,3,4,5,2,5
343,343,2,62,4,3,4,3,2,5,3,4
344,344,1,22,2,4,5,4,4,2,6,5
345,345,2,30,4,2,3,3,2,3,6,4
346,346,2,47,4,4,5,3,2,5,4,4
347,347,1,72,3,1,2,3,5,6,2,4
348,348,2,73,2,3,4,5,2,5,2,3
349,349,1,60,5,4,5,1,4,6,3,6
350,350,2,51,5,2,3,2,2,4,4,5
351,351,1,60,4,4,5,2,4,5,3,6
352,352,1,74,1,2,3,5,4,6,1,2
353,353,2,61,2,2,3,5,2,4,2,3
354,354,1,65,4,1,2,2,5,4,2,6
355,355,1,58,4,2,3,2,4,4,3,5
356,356,2,67,2,2,3,5,2,6,2,2
357,357,2,32,4,1,2,3,4,3,5,5
358,358,1,44,5,1,2,1,6,5,5,6
359,359,1,22,2,3,4,4,4,3,6,4
360,360,2,71,4,1,2,3,3,5,2,3
361,361,1,44,2,1,2,4,6,5,4,3
362,362,2,52,2,1,2,5,3,3,3,3
363,363,1,20,2,4,5,4,4,4,7,5
364,364,1,73,5,3,4,1,4,7,1,5
365,365,1,49,4,1,2,2,5,4,3,5
366,366,1,31,5,2,3,2,5,4,5,6
367,367,1,22,5,1,2,1,5,3,6,7
368,368,2,69,1,3,5,6,2,3,2,2
369,369,2,65,1,3,5,6,2,4,2,3
370,370,1,49,3,3,4,3,4,4,4,5
371,371,2,52,3,3,4,4,2,4,4,4
372,372,2,50,3,4,5,4,2,3,3,4
373,373,1,54,2,4,5,4,4,5,4,4
374,374,1,73,4,1,2,2,5,6,2,5
375,375,1,26,2,2,3,4,4,4,6,4
376,376,2,68,5,4,5,2,2,5,2,4
377,377,1,22,2,3,4,4,4,4,6,6
378,378,2,73,4,3,4,3,2,4,1,4
379,379,2,71,4,1,2,3,3,4,2,4
380,380,1,28,1,4,5,5,4,4,6,5
381,381,2,63,3,3,4,4,2,3,2,3
382,382,2,64,1,1,3,6,3,4,3,2
383,383,2,66,2,1,2,5,3,4,3,2
384,384,1,60,4,3,4,2,4,6,2,5
385,385,1,20,2,1,2,4,5,4,6,4
386,386,2,47,1,2,4,6,2,4,4,4
387,387,2,59,2,2,3,5,2,5,3,3
388,388,2,54,2,2,3,5,2,4,3,2
389,389,2,47,4,3,4,3,2,4,4,4
390,390,2,56,1,4,6,6,2,4,3,2
391,391,2,34,4,4,5,4,3,3,5,4
392,392,1,60,1,2,3,5,4,6,3,3
393,393,1,44,4,1,2,2,6,5,4,6
394,394,1,24,5,1,2,1,5,2,6,5
395,395,2,37,1,4,6,7,3,2,5,3
396,396,1,66,2,4,5,4,4,5,3,3
397,397,1,33,2,4,5,5,5,4,6,4
398,398,2,63,5,2,3,2,2,4,2,4
399,399,2,62,1,4,6,6,2,3,3,2
400,400,1,60,1,1,2,5,5,6,3,3
401,401,2,48,1,4,6,6,2,2,3,2
402,402,2,34,5,1,2,2,4,3,5,4
403,403,1,52,1,4,5,5,4,4,4,4
404,404,2,42,4,3,4,4,3,3,4,5
405,405,1,21,1,4,5,5,4,2,7,5
406,406,1,46,5,1,2,1,5,5,4,5
407,407,1,36,5,4,5,2,5,3,4,5
408,408,2,62,4,1,2,3,3,5,3,4
409,409,1,74,3,3,4,3,4,5,1,4
410,410,2,20,2,3,4,5,2,3,6,5
411,411,2,23,4,2,3,3,2,4,6,5
412,412,2,37,1,4,6,7,3,3,5,3
413,413,2,29,3,1,2,4,3,3,6,4
414,414,1,27,4,4,5,2,4,5,6,6
415,415,2,49,2,2,3,5,2,5,4,4
416,416,1,55,3,4,5,3,4,6,3,4
417,417,1,40,1,1,2,5,6,5,5,4
418,418,1,31,4,3,4,3,5,3,5,6
419,419,2,39,3,1,2,4,4,4,5,4
420,420,2,68,3,3,4,4,2,4,2,4
